Franklin Pierce Adams|Franklin Pierce Adams|Adams, Franklin P. (Franklin Pierce), 1881-1960|1881-1960|1881-1960|2|1|Found: via dates
Frederick Upham Adams|Frederick Upham Adams|Adams, Frederick Upham, 1859-1921|1859-1921|1859-1921|1|0|Found: via dates
George Burton Adams|George Burton Adams|Adams, George Burton, 1851-1925|1851-1925|1851-1925|1|1|Found: via dates
NA|H. A. Adams|Adams, H. A., Mrs.|||1|0|
Henry Cadwallader Adams|Henry Cadwallader Adams|Adams, H. C. (Henry Cadwallader), 1817-1899|1817-1899|1817-1899|2|0|Found: via dates
NA|Henry Sherman Adams|Adams, H. S. (Henry Sherman), 1864-||1864-|1|0|
NA|Henry Charles Adams|Adams, Henry Charles, 1873-1952||1873-1952|0|0|
Henry Gardiner Adams|Henry Gardiner Adams|Adams, Henry Gardiner|1811-1881||1|0|Found: via work_scan OpenL
Henry Adams|Henry Adams|Adams, Henry, 1838-1918|1838-1918|1838-1918|4|1|Found: via dates
NA|J. S. Adams|Adams, J. S., Mrs., 1845-1885||1845-1885|0|0|
NA|James Meade Adams|Adams, James Meade, 1862-||1862-|1|0|
John Greenleaf Adams|John Greenleaf Adams|Adams, John G. (John Greenleaf), 1810-1887|1810-1897|1810-1887|1|0|Found: via work_scan OpenL
John Quincy Adams|John Quincy Adams|Adams, John Quincy, 1767-1848|1767-1848|1767-1848|2|1|Found: via dates
NA|John Stowell Adams|Adams, John S. (John Stowell), -1893||-1893|1|0|
NA|John Turvill Adams|Adams, John Turvill, 1805-1882||1805-1882|0|0|
John Adams|John Adams|Adams, John, 1735-1826|1735-1826|1735-1826|1|1|Found: via dates
Joseph Quincy Adams, Jr.|Joseph Quincy Adams|Adams, Joseph Quincy, 1881-1946|1880-1946|1881-1946|1|0|Found: via work_scan OpenL
NA|Morley Adams|Adams, Morley|||1|0|
Nehemiah Adams|Nehemiah Adams|Adams, Nehemiah, 1806-1878|1806-1878|1806-1878|3|1|Found: via dates
Oscar Fay Adams|Oscar Fay Adams|Adams, Oscar Fay|1855-1919||1|0|Found: via work_scan OpenL
Samuel Hopkins Adams|Samuel Hopkins Adams|Adams, Samuel Hopkins, 1871-1958|1871-1958|1871-1958|12|1|Found: via dates
Samuel Adams|Samuel Adams|Adams, Samuel, 1722-1803|1722-1803|1722-1803|3|1|Found: via dates
NA|Sherred Willcox Adams|Adams, Sherred Willcox|||0|0|
William Henry Davenport Adams|William Henry Davenport Adams|Adams, W. H. Davenport (William Henry Davenport), 1828-1891|1828-1891|1828-1891|5|0|Found: via dates
Arthur St. John Adcock|A. St. John Adcock|Adcock, A. St. John|1864-1930||1|0|Found: via work_scan OpenL
NA|K. J. Adcock|Adcock, K. J.|||1|0|False Positive: Arthur St. John Adcock
Jane Addams|Jane Addams|Addams, Jane, 1860-1935|1860-1935|1860-1935|4|0|Found: via dates
NA|Joshua Melancthon Addeman|Addeman, Joshua M. (Joshua Melancthon), 1840-1930||1840-1930|0|0|
NA|Andrew Adderup|Adderup, Andrew|||0|0|
Albert Christopher Addison|Albert Christopher Addison|Addison, Albert Christopher|1862-1935||1|0|Found: via work_scan OpenL
NA|Alvin Addison|Addison, Alvin|||2|0|
Charles G. Addison|Charles Greenstreet Addison|Addison, C. G. (Charles Greenstreet), -1866|-1866|-1866|2|0|Found: via work_scan OpenL
Joseph Addison|Joseph Addison|Addison, Joseph, 1672-1719|1672-1719|1672-1719|2|1|Found: via dates
NA|Julia de Wolf Gibbs Addison|Addison, Julia de Wolf Gibbs, 1866-||1866-|1|0|Possible Type 1: Daniel Dulany Addison
Percy Addleshaw|Percy Addleshaw|Addleshaw, Percy, 1866-1916|1866-1916|1866-1916|1|1|Found: via dates
